id,name,category,participation,preferred_period,gender,year,normal_subrole,requested_with
TN038,Two Normal 038,normal,two_period,,man,4,normal,TN039
TN039,Two Normal 039,normal,two_period,,woman,5,normal,TN040
TN040,Two Normal 040,normal,two_period,,man,1,normal,TN041
TN041,Two Normal 041,normal,two_period,,woman,2,normal,TN042
TN042,Two Normal 042,normal,two_period,,man,3,normal,ON02
TN043,Two Normal 043,normal,two_period,,woman,4,normal,TN044
TN044,Two Normal 044,normal,two_period,,man,5,event,TN045
TN045,Two Normal 045,normal,two_period,,woman,1,normal,TN046
TN046,Two Normal 046,normal,two_period,,man,2,normal,TN047
TN047,Two Normal 047,normal,two_period,,woman,3,normal,TN048
TN048,Two Normal 048,normal,two_period,,man,4,normal,TN049
TN049,Two Normal 049,normal,two_period,,woman,5,event,ON09
TN050,Two Normal 050,normal,two_period,,man,1,normal,TN051
TN051,Two Normal 051,normal,two_period,,woman,2,normal,TN052
TN052,Two Normal 052,normal,two_period,,man,3,normal,TN053
TN053,Two Normal 053,normal,two_period,,woman,4,event,TN001
SX01,Sexi Mentor 01,sexi,one_period,1,woman,2,,ON01
SX02,Sexi Mentor 02,sexi,one_period,2,man,3,,ON02
SX03,Sexi Mentor 03,sexi,one_period,2,woman,4,,ON03
SX04,Sexi Mentor 04,sexi,one_period,2,man,1,,ON04
SX05,Sexi Mentor 05,sexi,two_period,,woman,2,,
SX06,Sexi Mentor 06,sexi,two_period,,man,3,,
SX07,Sexi Mentor 07,sexi,two_period,,woman,4,,
SX08,Sexi Mentor 08,sexi,two_period,,man,1,,
HV01,Hovding 01,hovding,two_period,,woman,leader,,TN001
HV02,Hovding 02,hovding,two_period,,man,leader,,TN002
HV03,Hovding 03,hovding,two_period,,woman,leader,,TN003
HV04,Hovding 04,hovding,two_period,,man,leader,,TN004
HV05,Hovding 05,hovding,two_period,,woman,leader,,TN005
HV06,Hovding 06,hovding,two_period,,man,leader,,TN006
HV07,Hovding 07,hovding,two_period,,woman,leader,,TN007
HV08,Hovding 08,hovding,two_period,,man,leader,,TN008
HV09,Hovding 09,hovding,two_period,,woman,leader,,TN009
HV10,Hovding 10,hovding,two_period,,man,leader,,TN010
HV11,Hovding 11,hovding,two_period,,woman,leader,,
HV12,Hovding 12,hovding,two_period,,man,leader,,
HV13,Hovding 13,hovding,two_period,,woman,leader,,
HV14,Hovding 14,hovding,two_period,,man,leader,,
HV15,Hovding 15,hovding,two_period,,woman,leader,,
HV16,Hovding 16,hovding,two_period,,man,leader,,
HV17,Hovding 17,hovding,two_period,,woman,leader,,
HV18,Hovding 18,hovding,two_period,,man,leader,,
HV19,Hovding 19,hovding,two_period,,woman,leader,,
HV20,Hovding 20,hovding,two_period,,man,leader,,
